district,year,p10,p50,p90,observed
Amager,2019,39245.26953125,43216.77734375,47548.9609375,38019.79296875
Amager,2020,44744.859375,51395.0546875,58809.01953125,40635.609375
Amager,2021,48615.51953125,60129.4375,73623.75,45729.16796875
Amager,2022,50162.125,65272.1171875,89271.453125,46673.49609375
Amager,2023,50087.1171875,74753.1875,113652.0078125,45080.65234375
Bispebjerg,2019,33182.19921875,41007.4140625,50008.25390625,34687.5078125
Bispebjerg,2020,36315.85546875,49758.7421875,63828.1875,36999.9921875
Bispebjerg,2021,36744.859375,59156.3046875,83897.7421875,42133.109375
Bispebjerg,2022,34946.234375,68934.8671875,110340.78125,43137.859375
Bispebjerg,2023,33309.83203125,84605.359375,162091.546875,41666.671875
Brønshøj-Husum,2019,32199.974609375,36015.140625,39739.6171875,33403.890625
Brønshøj-Husum,2020,36002.93359375,41658.9296875,47957.41796875,35775.84765625
Brønshøj-Husum,2021,39735.93359375,49363.88671875,61002.48828125,38707.01171875
Brønshøj-Husum,2022,42285.640625,56688.56640625,74842.8125,38526.3359375
Brønshøj-Husum,2023,47591.39453125,67239.34375,98467.0390625,36666.671875
Indre By,2019,52347.48046875,57802.8125,63919.93359375,50769.234375
Indre By,2020,59716.5,69596.984375,78749.65625,53571.421875
Indre By,2021,66222.1015625,81101.46875,97311.578125,60591.4765625
Indre By,2022,70758.4453125,88797.8125,114081.5390625,62994.58984375
Indre By,2023,75855.28125,104085.25,144262.375,60769.25
Nørrebro,2019,40297.96484375,47262.4140625,56425.1953125,42075.328125
Nørrebro,2020,44346.5625,57869.0625,73680.1484375,45188.69140625
Nørrebro,2021,43209.9296875,65214.9296875,101434.640625,51822.58203125
Nørrebro,2022,40029.40625,71769.8046875,132832.453125,52739.71875
Nørrebro,2023,35666.96875,82007.40625,196384.625,50990.15625
Valby,2019,34801.48828125,40090.76953125,45414.953125,36093.21875
Valby,2020,35438.45703125,43761.6484375,52519.91796875,38596.5
Valby,2021,36407.07421875,48944.29296875,67510.09375,44090.10546875
Valby,2022,36909.609375,54787.03125,81484.265625,44067.78515625
Valby,2023,38455.1015625,59839.359375,102496.421875,43471.51171875
Vanløse,2019,37336.3125,40988.3125,44607.4921875,35181.34375
Vanløse,2020,41611.84375,46490.60546875,52113.16796875,37125.75
Vanløse,2021,45875.2578125,56205.234375,66996.625,41978.25390625
Vanløse,2022,49644.3203125,64458.03125,83065.296875,42227.6796875
Vanløse,2023,55254.93359375,81419.859375,117119.9609375,39119.37890625
Vesterbro/Kongens Enghave,2019,41445.66015625,48826.2265625,58253.40625,44736.828125
Vesterbro/Kongens Enghave,2020,42000.96484375,57013.44921875,74269.375,50543.578125
Vesterbro/Kongens Enghave,2021,40468.390625,65843.140625,99468.9453125,56323.5234375
Vesterbro/Kongens Enghave,2022,38318.71484375,71301.2109375,126803.3203125,56956.15234375
Vesterbro/Kongens Enghave,2023,34347.375,78342.3984375,176509.40625,55670.09765625
Østerbro,2019,47423.6953125,52423.87890625,57401.1953125,44570.0234375
Østerbro,2020,53227.53515625,63627.2421875,72865.2265625,49937.484375
Østerbro,2021,58133.33203125,77576.5,101278.4609375,57575.73046875
Østerbro,2022,59863.35546875,85765.78125,125669.984375,58035.71484375
Østerbro,2023,59877.2109375,99240.796875,168123.84375,56428.58203125
