ancestry,age_group,sex,district,year,value
Descendants of non-western origin,0-10 years,Men,Amager Vest,1986,109.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1987,136.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1988,163.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1989,168.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1990,189.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1991,184.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1992,185.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1993,228.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1994,262.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1995,311.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1996,339.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1997,379.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1998,418.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,1999,450.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2000,480.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2001,531.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2002,553.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2003,582.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2004,590.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2005,583.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2006,627.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2007,622.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2008,599.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2009,574.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2010,542.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2011,543.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2012,523.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2013,502.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2014,499.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2015,496.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2016,472.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2017,471.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2018,469.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2019,488.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2020,484.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2021,488.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2022,510.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2023,501.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2024,494.0
Descendants of non-western origin,0-10 years,Men,Amager Vest,2025,497.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1986,137.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1987,127.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1988,144.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1989,153.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1990,166.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1991,169.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1992,189.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1993,221.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1994,259.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1995,292.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1996,302.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1997,332.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1998,360.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,1999,419.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2000,446.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2001,474.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2002,498.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2003,490.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2004,462.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2005,426.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2006,389.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2007,393.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2008,393.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2009,368.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2010,345.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2011,332.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2012,318.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2013,306.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2014,307.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2015,282.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2016,269.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2017,253.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2018,249.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2019,239.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2020,230.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2021,209.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2022,201.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2023,202.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2024,188.0
Descendants of non-western origin,0-10 years,Men,Amager Øst,2025,198.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1986,238.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1987,256.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1988,240.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1989,234.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1990,232.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1991,253.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1992,246.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1993,292.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1994,312.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1995,348.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1996,428.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1997,452.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1998,506.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,1999,554.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2000,623.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2001,685.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2002,765.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2003,759.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2004,758.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2005,764.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2006,761.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2007,753.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2008,751.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2009,765.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2010,758.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2011,749.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2012,747.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2013,744.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2014,744.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2015,755.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2016,747.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2017,733.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2018,736.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2019,724.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2020,688.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2021,645.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2022,564.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2023,531.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2024,481.0
Descendants of non-western origin,0-10 years,Men,Bispebjerg,2025,428.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1986,63.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1987,70.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1988,90.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1989,103.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1990,122.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1991,145.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1992,166.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1993,211.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1994,261.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1995,327.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1996,377.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1997,465.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1998,541.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,1999,618.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2000,664.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2001,742.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2002,780.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2003,813.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2004,845.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2005,851.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2006,850.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2007,862.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2008,845.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2009,824.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2010,823.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2011,805.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2012,817.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2013,817.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2014,800.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2015,831.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2016,854.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2017,877.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2018,870.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2019,867.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2020,860.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2021,852.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2022,784.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2023,740.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2024,691.0
Descendants of non-western origin,0-10 years,Men,Brønshøj-Husum,2025,647.0
Descendants of non-western origin,0-10 years,Men,Indre By,1986,58.0
Descendants of non-western origin,0-10 years,Men,Indre By,1987,51.0
Descendants of non-western origin,0-10 years,Men,Indre By,1988,50.0
Descendants of non-western origin,0-10 years,Men,Indre By,1989,51.0
Descendants of non-western origin,0-10 years,Men,Indre By,1990,53.0
Descendants of non-western origin,0-10 years,Men,Indre By,1991,51.0
Descendants of non-western origin,0-10 years,Men,Indre By,1992,44.0
Descendants of non-western origin,0-10 years,Men,Indre By,1993,44.0
Descendants of non-western origin,0-10 years,Men,Indre By,1994,45.0
Descendants of non-western origin,0-10 years,Men,Indre By,1995,44.0
Descendants of non-western origin,0-10 years,Men,Indre By,1996,40.0
Descendants of non-western origin,0-10 years,Men,Indre By,1997,40.0
Descendants of non-western origin,0-10 years,Men,Indre By,1998,44.0
Descendants of non-western origin,0-10 years,Men,Indre By,1999,50.0
Descendants of non-western origin,0-10 years,Men,Indre By,2000,54.0
Descendants of non-western origin,0-10 years,Men,Indre By,2001,54.0
Descendants of non-western origin,0-10 years,Men,Indre By,2002,68.0
Descendants of non-western origin,0-10 years,Men,Indre By,2003,61.0
Descendants of non-western origin,0-10 years,Men,Indre By,2004,50.0
Descendants of non-western origin,0-10 years,Men,Indre By,2005,61.0
Descendants of non-western origin,0-10 years,Men,Indre By,2006,60.0
Descendants of non-western origin,0-10 years,Men,Indre By,2007,61.0
Descendants of non-western origin,0-10 years,Men,Indre By,2008,58.0
Descendants of non-western origin,0-10 years,Men,Indre By,2009,55.0
Descendants of non-western origin,0-10 years,Men,Indre By,2010,49.0
Descendants of non-western origin,0-10 years,Men,Indre By,2011,49.0
Descendants of non-western origin,0-10 years,Men,Indre By,2012,46.0
Descendants of non-western origin,0-10 years,Men,Indre By,2013,50.0
Descendants of non-western origin,0-10 years,Men,Indre By,2014,51.0
Descendants of non-western origin,0-10 years,Men,Indre By,2015,45.0
Descendants of non-western origin,0-10 years,Men,Indre By,2016,54.0
Descendants of non-western origin,0-10 years,Men,Indre By,2017,57.0
Descendants of non-western origin,0-10 years,Men,Indre By,2018,58.0
Descendants of non-western origin,0-10 years,Men,Indre By,2019,52.0
Descendants of non-western origin,0-10 years,Men,Indre By,2020,54.0
Descendants of non-western origin,0-10 years,Men,Indre By,2021,56.0
Descendants of non-western origin,0-10 years,Men,Indre By,2022,56.0
Descendants of non-western origin,0-10 years,Men,Indre By,2023,54.0
Descendants of non-western origin,0-10 years,Men,Indre By,2024,61.0
Descendants of non-western origin,0-10 years,Men,Indre By,2025,55.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1986,609.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1987,608.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1988,655.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1989,698.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1990,704.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1991,709.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1992,783.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1993,926.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1994,1064.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1995,1212.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1996,1395.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1997,1567.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1998,1697.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,1999,1803.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2000,1857.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2001,1914.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2002,1939.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2003,1847.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2004,1789.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2005,1750.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2006,1629.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2007,1578.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2008,1492.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2009,1373.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2010,1275.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2011,1176.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2012,1051.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2013,955.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2014,885.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2015,802.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2016,750.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2017,679.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2018,604.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2019,544.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2020,483.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2021,431.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2022,389.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2023,334.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2024,291.0
Descendants of non-western origin,0-10 years,Men,Nørrebro,2025,262.0
Descendants of non-western origin,0-10 years,Men,Valby,1986,150.0
Descendants of non-western origin,0-10 years,Men,Valby,1987,157.0
Descendants of non-western origin,0-10 years,Men,Valby,1988,172.0
Descendants of non-western origin,0-10 years,Men,Valby,1989,165.0
Descendants of non-western origin,0-10 years,Men,Valby,1990,188.0
Descendants of non-western origin,0-10 years,Men,Valby,1991,192.0
Descendants of non-western origin,0-10 years,Men,Valby,1992,220.0
Descendants of non-western origin,0-10 years,Men,Valby,1993,243.0
Descendants of non-western origin,0-10 years,Men,Valby,1994,275.0
Descendants of non-western origin,0-10 years,Men,Valby,1995,289.0
Descendants of non-western origin,0-10 years,Men,Valby,1996,368.0
Descendants of non-western origin,0-10 years,Men,Valby,1997,428.0
Descendants of non-western origin,0-10 years,Men,Valby,1998,466.0
Descendants of non-western origin,0-10 years,Men,Valby,1999,501.0
Descendants of non-western origin,0-10 years,Men,Valby,2000,538.0
Descendants of non-western origin,0-10 years,Men,Valby,2001,577.0
Descendants of non-western origin,0-10 years,Men,Valby,2002,593.0
Descendants of non-western origin,0-10 years,Men,Valby,2003,604.0
Descendants of non-western origin,0-10 years,Men,Valby,2004,619.0
Descendants of non-western origin,0-10 years,Men,Valby,2005,598.0
Descendants of non-western origin,0-10 years,Men,Valby,2006,566.0
Descendants of non-western origin,0-10 years,Men,Valby,2007,551.0
Descendants of non-western origin,0-10 years,Men,Valby,2008,541.0
Descendants of non-western origin,0-10 years,Men,Valby,2009,528.0
Descendants of non-western origin,0-10 years,Men,Valby,2010,517.0
Descendants of non-western origin,0-10 years,Men,Valby,2011,485.0
Descendants of non-western origin,0-10 years,Men,Valby,2012,460.0
Descendants of non-western origin,0-10 years,Men,Valby,2013,460.0
Descendants of non-western origin,0-10 years,Men,Valby,2014,457.0
Descendants of non-western origin,0-10 years,Men,Valby,2015,443.0
Descendants of non-western origin,0-10 years,Men,Valby,2016,452.0
Descendants of non-western origin,0-10 years,Men,Valby,2017,481.0
Descendants of non-western origin,0-10 years,Men,Valby,2018,470.0
Descendants of non-western origin,0-10 years,Men,Valby,2019,467.0
Descendants of non-western origin,0-10 years,Men,Valby,2020,488.0
Descendants of non-western origin,0-10 years,Men,Valby,2021,471.0
Descendants of non-western origin,0-10 years,Men,Valby,2022,450.0
Descendants of non-western origin,0-10 years,Men,Valby,2023,432.0
Descendants of non-western origin,0-10 years,Men,Valby,2024,399.0
Descendants of non-western origin,0-10 years,Men,Valby,2025,376.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1986,30.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1987,30.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1988,37.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1989,41.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1990,47.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1991,56.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1992,60.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1993,48.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1994,65.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1995,79.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1996,93.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1997,103.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1998,105.0
Descendants of non-western origin,0-10 years,Men,Vanløse,1999,120.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2000,148.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2001,156.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2002,178.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2003,189.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2004,203.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2005,196.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2006,218.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2007,192.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2008,201.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2009,197.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2010,183.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2011,210.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2012,190.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2013,199.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2014,204.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2015,203.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2016,198.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2017,200.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2018,202.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2019,222.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2020,218.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2021,196.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2022,193.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2023,176.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2024,162.0
Descendants of non-western origin,0-10 years,Men,Vanløse,2025,156.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1986,463.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1987,462.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1988,459.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1989,482.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1990,499.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1991,505.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1992,520.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1993,514.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1994,513.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1995,519.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1996,530.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1997,522.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1998,529.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,1999,512.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2000,534.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2001,581.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2002,603.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2003,608.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2004,589.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2005,522.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2006,468.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2007,434.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2008,427.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2009,418.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2010,379.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2011,366.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2012,350.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2013,318.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2014,299.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2015,294.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2016,286.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2017,292.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2018,303.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2019,304.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2020,308.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2021,306.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2022,312.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2023,304.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2024,300.0
Descendants of non-western origin,0-10 years,Men,Vesterbro/Kongens Enghave,2025,288.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1986,131.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1987,132.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1988,120.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1989,116.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1990,108.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1991,116.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1992,123.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1993,126.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1994,127.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1995,149.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1996,157.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1997,199.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1998,208.0
Descendants of non-western origin,0-10 years,Men,Østerbro,1999,224.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2000,218.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2001,265.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2002,254.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2003,274.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2004,272.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2005,255.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2006,273.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2007,274.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2008,269.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2009,266.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2010,282.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2011,290.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2012,283.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2013,276.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2014,261.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2015,258.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2016,275.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2017,279.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2018,268.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2019,252.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2020,246.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2021,239.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2022,227.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2023,212.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2024,202.0
Descendants of non-western origin,0-10 years,Men,Østerbro,2025,205.0
Descendants of non-western origin,0-10 years,Women,Amager Vest,1986,129.0
Descendants of non-western origin,0-10 years,Women,Amager Vest,1987,143.0
