education,unemployment_degree,district,year,value
Highest education completed total,"[0-0,2]",Amager Vest,2008,1769.0
Highest education completed total,"[0-0,2]",Amager Vest,2009,1792.0
Highest education completed total,"[0-0,2]",Amager Vest,2010,1814.0
Highest education completed total,"[0-0,2]",Amager Vest,2011,1891.0
Highest education completed total,"[0-0,2]",Amager Vest,2012,1949.0
Highest education completed total,"[0-0,2]",Amager Vest,2013,2113.0
Highest education completed total,"[0-0,2]",Amager Vest,2014,1831.0
Highest education completed total,"[0-0,2]",Amager Vest,2015,2044.0
Highest education completed total,"[0-0,2]",Amager Vest,2016,1968.0
Highest education completed total,"[0-0,2]",Amager Vest,2017,2082.0
Highest education completed total,"[0-0,2]",Amager Vest,2018,1954.0
Highest education completed total,"[0-0,2]",Amager Vest,2019,1958.0
Highest education completed total,"[0-0,2]",Amager Vest,2020,2139.0
Highest education completed total,"[0-0,2]",Amager Vest,2021,2063.0
Highest education completed total,"[0-0,2]",Amager Vest,2022,2271.0
Highest education completed total,"[0-0,2]",Amager Vest,2023,1997.0
Highest education completed total,"[0-0,2]",Amager Øst,2008,1698.0
Highest education completed total,"[0-0,2]",Amager Øst,2009,1721.0
Highest education completed total,"[0-0,2]",Amager Øst,2010,1895.0
Highest education completed total,"[0-0,2]",Amager Øst,2011,1864.0
Highest education completed total,"[0-0,2]",Amager Øst,2012,1995.0
Highest education completed total,"[0-0,2]",Amager Øst,2013,1987.0
Highest education completed total,"[0-0,2]",Amager Øst,2014,1840.0
Highest education completed total,"[0-0,2]",Amager Øst,2015,1979.0
Highest education completed total,"[0-0,2]",Amager Øst,2016,1901.0
Highest education completed total,"[0-0,2]",Amager Øst,2017,1967.0
Highest education completed total,"[0-0,2]",Amager Øst,2018,1736.0
Highest education completed total,"[0-0,2]",Amager Øst,2019,1678.0
Highest education completed total,"[0-0,2]",Amager Øst,2020,1922.0
Highest education completed total,"[0-0,2]",Amager Øst,2021,1779.0
Highest education completed total,"[0-0,2]",Amager Øst,2022,1946.0
Highest education completed total,"[0-0,2]",Amager Øst,2023,1740.0
Highest education completed total,"[0-0,2]",Bispebjerg,2008,1740.0
Highest education completed total,"[0-0,2]",Bispebjerg,2009,1861.0
Highest education completed total,"[0-0,2]",Bispebjerg,2010,1892.0
Highest education completed total,"[0-0,2]",Bispebjerg,2011,2103.0
Highest education completed total,"[0-0,2]",Bispebjerg,2012,2023.0
Highest education completed total,"[0-0,2]",Bispebjerg,2013,2073.0
Highest education completed total,"[0-0,2]",Bispebjerg,2014,1896.0
Highest education completed total,"[0-0,2]",Bispebjerg,2015,2090.0
Highest education completed total,"[0-0,2]",Bispebjerg,2016,2205.0
Highest education completed total,"[0-0,2]",Bispebjerg,2017,2131.0
Highest education completed total,"[0-0,2]",Bispebjerg,2018,1977.0
Highest education completed total,"[0-0,2]",Bispebjerg,2019,1900.0
Highest education completed total,"[0-0,2]",Bispebjerg,2020,1928.0
Highest education completed total,"[0-0,2]",Bispebjerg,2021,1880.0
Highest education completed total,"[0-0,2]",Bispebjerg,2022,2018.0
Highest education completed total,"[0-0,2]",Bispebjerg,2023,1960.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2008,1115.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2009,1154.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2010,1098.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2011,1141.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2012,1200.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2013,1203.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2014,1080.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2015,1176.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2016,1157.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2017,1127.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2018,1051.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2019,951.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2020,1034.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2021,934.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2022,1063.0
Highest education completed total,"[0-0,2]",Brønshøj-Husum,2023,975.0
Highest education completed total,"[0-0,2]",Indre By,2008,1241.0
Highest education completed total,"[0-0,2]",Indre By,2009,1199.0
Highest education completed total,"[0-0,2]",Indre By,2010,1206.0
Highest education completed total,"[0-0,2]",Indre By,2011,1358.0
Highest education completed total,"[0-0,2]",Indre By,2012,1250.0
Highest education completed total,"[0-0,2]",Indre By,2013,1340.0
Highest education completed total,"[0-0,2]",Indre By,2014,1235.0
Highest education completed total,"[0-0,2]",Indre By,2015,1416.0
Highest education completed total,"[0-0,2]",Indre By,2016,1408.0
Highest education completed total,"[0-0,2]",Indre By,2017,1463.0
Highest education completed total,"[0-0,2]",Indre By,2018,1207.0
Highest education completed total,"[0-0,2]",Indre By,2019,1203.0
Highest education completed total,"[0-0,2]",Indre By,2020,1193.0
Highest education completed total,"[0-0,2]",Indre By,2021,1207.0
Highest education completed total,"[0-0,2]",Indre By,2022,1306.0
Highest education completed total,"[0-0,2]",Indre By,2023,1236.0
Highest education completed total,"[0-0,2]",Nørrebro,2008,2765.0
Highest education completed total,"[0-0,2]",Nørrebro,2009,2901.0
Highest education completed total,"[0-0,2]",Nørrebro,2010,2962.0
Highest education completed total,"[0-0,2]",Nørrebro,2011,3102.0
Highest education completed total,"[0-0,2]",Nørrebro,2012,3134.0
Highest education completed total,"[0-0,2]",Nørrebro,2013,3260.0
Highest education completed total,"[0-0,2]",Nørrebro,2014,3008.0
Highest education completed total,"[0-0,2]",Nørrebro,2015,3366.0
Highest education completed total,"[0-0,2]",Nørrebro,2016,3290.0
Highest education completed total,"[0-0,2]",Nørrebro,2017,3480.0
Highest education completed total,"[0-0,2]",Nørrebro,2018,3005.0
Highest education completed total,"[0-0,2]",Nørrebro,2019,2834.0
Highest education completed total,"[0-0,2]",Nørrebro,2020,2845.0
Highest education completed total,"[0-0,2]",Nørrebro,2021,2677.0
Highest education completed total,"[0-0,2]",Nørrebro,2022,3002.0
Highest education completed total,"[0-0,2]",Nørrebro,2023,2830.0
Highest education completed total,"[0-0,2]",Valby,2008,1429.0
Highest education completed total,"[0-0,2]",Valby,2009,1547.0
Highest education completed total,"[0-0,2]",Valby,2010,1632.0
Highest education completed total,"[0-0,2]",Valby,2011,1662.0
Highest education completed total,"[0-0,2]",Valby,2012,1684.0
Highest education completed total,"[0-0,2]",Valby,2013,1828.0
Highest education completed total,"[0-0,2]",Valby,2014,1626.0
Highest education completed total,"[0-0,2]",Valby,2015,1715.0
Highest education completed total,"[0-0,2]",Valby,2016,1674.0
Highest education completed total,"[0-0,2]",Valby,2017,1847.0
Highest education completed total,"[0-0,2]",Valby,2018,1628.0
Highest education completed total,"[0-0,2]",Valby,2019,1714.0
Highest education completed total,"[0-0,2]",Valby,2020,1820.0
Highest education completed total,"[0-0,2]",Valby,2021,1775.0
Highest education completed total,"[0-0,2]",Valby,2022,2108.0
Highest education completed total,"[0-0,2]",Valby,2023,1874.0
Highest education completed total,"[0-0,2]",Vanløse,2008,888.0
Highest education completed total,"[0-0,2]",Vanløse,2009,1002.0
Highest education completed total,"[0-0,2]",Vanløse,2010,1089.0
Highest education completed total,"[0-0,2]",Vanløse,2011,1113.0
Highest education completed total,"[0-0,2]",Vanløse,2012,1196.0
Highest education completed total,"[0-0,2]",Vanløse,2013,1213.0
Highest education completed total,"[0-0,2]",Vanløse,2014,1103.0
Highest education completed total,"[0-0,2]",Vanløse,2015,1213.0
Highest education completed total,"[0-0,2]",Vanløse,2016,1119.0
Highest education completed total,"[0-0,2]",Vanløse,2017,1194.0
Highest education completed total,"[0-0,2]",Vanløse,2018,1039.0
Highest education completed total,"[0-0,2]",Vanløse,2019,1144.0
Highest education completed total,"[0-0,2]",Vanløse,2020,1063.0
Highest education completed total,"[0-0,2]",Vanløse,2021,960.0
Highest education completed total,"[0-0,2]",Vanløse,2022,1089.0
Highest education completed total,"[0-0,2]",Vanløse,2023,929.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2008,2250.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2009,2253.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2010,2372.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2011,2369.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2012,2268.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2013,2331.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2014,2253.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2015,2442.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2016,2417.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2017,2561.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2018,2292.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2019,2178.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2020,2391.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2021,2305.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2022,2590.0
Highest education completed total,"[0-0,2]",Vesterbro/Kongens Enghave,2023,2480.0
Highest education completed total,"[0-0,2]",Østerbro,2008,1969.0
Highest education completed total,"[0-0,2]",Østerbro,2009,2028.0
Highest education completed total,"[0-0,2]",Østerbro,2010,2122.0
Highest education completed total,"[0-0,2]",Østerbro,2011,2156.0
Highest education completed total,"[0-0,2]",Østerbro,2012,2106.0
Highest education completed total,"[0-0,2]",Østerbro,2013,2134.0
Highest education completed total,"[0-0,2]",Østerbro,2014,2109.0
Highest education completed total,"[0-0,2]",Østerbro,2015,2300.0
Highest education completed total,"[0-0,2]",Østerbro,2016,2293.0
Highest education completed total,"[0-0,2]",Østerbro,2017,2390.0
Highest education completed total,"[0-0,2]",Østerbro,2018,1958.0
Highest education completed total,"[0-0,2]",Østerbro,2019,1949.0
Highest education completed total,"[0-0,2]",Østerbro,2020,1949.0
Highest education completed total,"[0-0,2]",Østerbro,2021,1916.0
Highest education completed total,"[0-0,2]",Østerbro,2022,2119.0
Highest education completed total,"[0-0,2]",Østerbro,2023,1912.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2008,899.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2009,1139.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2010,1211.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2011,1241.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2012,1285.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2013,1269.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2014,1167.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2015,1180.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2016,1184.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2017,1213.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2018,1250.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2019,1230.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2020,1430.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2021,1553.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2022,1339.0
Highest education completed total,"]0,2-0,4]",Amager Vest,2023,1289.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2008,786.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2009,1108.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2010,1192.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2011,1235.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2012,1256.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2013,1280.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2014,1137.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2015,1146.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2016,1145.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2017,1083.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2018,1160.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2019,1110.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2020,1257.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2021,1229.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2022,1047.0
Highest education completed total,"]0,2-0,4]",Amager Øst,2023,1110.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2008,976.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2009,1211.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2010,1251.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2011,1356.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2012,1374.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2013,1371.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2014,1233.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2015,1207.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2016,1320.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2017,1243.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2018,1258.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2019,1265.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2020,1326.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2021,1252.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2022,1239.0
Highest education completed total,"]0,2-0,4]",Bispebjerg,2023,1196.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2008,612.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2009,766.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2010,843.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2011,809.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2012,799.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2013,830.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2014,711.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2015,731.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2016,727.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2017,636.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2018,722.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2019,697.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2020,708.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2021,689.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2022,638.0
Highest education completed total,"]0,2-0,4]",Brønshøj-Husum,2023,643.0
Highest education completed total,"]0,2-0,4]",Indre By,2008,681.0
Highest education completed total,"]0,2-0,4]",Indre By,2009,831.0
Highest education completed total,"]0,2-0,4]",Indre By,2010,870.0
Highest education completed total,"]0,2-0,4]",Indre By,2011,850.0
Highest education completed total,"]0,2-0,4]",Indre By,2012,807.0
Highest education completed total,"]0,2-0,4]",Indre By,2013,869.0
Highest education completed total,"]0,2-0,4]",Indre By,2014,835.0
Highest education completed total,"]0,2-0,4]",Indre By,2015,852.0
Highest education completed total,"]0,2-0,4]",Indre By,2016,866.0
Highest education completed total,"]0,2-0,4]",Indre By,2017,827.0
Highest education completed total,"]0,2-0,4]",Indre By,2018,843.0
Highest education completed total,"]0,2-0,4]",Indre By,2019,797.0
Highest education completed total,"]0,2-0,4]",Indre By,2020,871.0
Highest education completed total,"]0,2-0,4]",Indre By,2021,818.0
Highest education completed total,"]0,2-0,4]",Indre By,2022,830.0
Highest education completed total,"]0,2-0,4]",Indre By,2023,820.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2008,1540.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2009,1741.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2010,1963.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2011,2000.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2012,2001.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2013,2111.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2014,1927.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2015,2038.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2016,2045.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2017,2129.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2018,1920.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2019,1884.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2020,1966.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2021,1924.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2022,1783.0
Highest education completed total,"]0,2-0,4]",Nørrebro,2023,1834.0
Highest education completed total,"]0,2-0,4]",Valby,2008,759.0
Highest education completed total,"]0,2-0,4]",Valby,2009,947.0
Highest education completed total,"]0,2-0,4]",Valby,2010,1104.0
Highest education completed total,"]0,2-0,4]",Valby,2011,1048.0
Highest education completed total,"]0,2-0,4]",Valby,2012,1063.0
Highest education completed total,"]0,2-0,4]",Valby,2013,1119.0
Highest education completed total,"]0,2-0,4]",Valby,2014,983.0
Highest education completed total,"]0,2-0,4]",Valby,2015,975.0
Highest education completed total,"]0,2-0,4]",Valby,2016,1043.0
Highest education completed total,"]0,2-0,4]",Valby,2017,1051.0
Highest education completed total,"]0,2-0,4]",Valby,2018,1026.0
Highest education completed total,"]0,2-0,4]",Valby,2019,1039.0
Highest education completed total,"]0,2-0,4]",Valby,2020,1050.0
Highest education completed total,"]0,2-0,4]",Valby,2021,1228.0
Highest education completed total,"]0,2-0,4]",Valby,2022,1121.0
Highest education completed total,"]0,2-0,4]",Valby,2023,1131.0
Highest education completed total,"]0,2-0,4]",Vanløse,2008,471.0
Highest education completed total,"]0,2-0,4]",Vanløse,2009,615.0
Highest education completed total,"]0,2-0,4]",Vanløse,2010,682.0
Highest education completed total,"]0,2-0,4]",Vanløse,2011,718.0
Highest education completed total,"]0,2-0,4]",Vanløse,2012,739.0
Highest education completed total,"]0,2-0,4]",Vanløse,2013,748.0
Highest education completed total,"]0,2-0,4]",Vanløse,2014,636.0
Highest education completed total,"]0,2-0,4]",Vanløse,2015,652.0
Highest education completed total,"]0,2-0,4]",Vanløse,2016,617.0
Highest education completed total,"]0,2-0,4]",Vanløse,2017,631.0
Highest education completed total,"]0,2-0,4]",Vanløse,2018,685.0
Highest education completed total,"]0,2-0,4]",Vanløse,2019,653.0
Highest education completed total,"]0,2-0,4]",Vanløse,2020,670.0
Highest education completed total,"]0,2-0,4]",Vanløse,2021,654.0
Highest education completed total,"]0,2-0,4]",Vanløse,2022,601.0
Highest education completed total,"]0,2-0,4]",Vanløse,2023,617.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2008,1308.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2009,1462.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2010,1509.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2011,1529.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2012,1520.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2013,1572.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2014,1444.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2015,1449.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2016,1502.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2017,1500.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2018,1471.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2019,1544.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2020,1605.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2021,1614.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2022,1482.0
Highest education completed total,"]0,2-0,4]",Vesterbro/Kongens Enghave,2023,1538.0
Highest education completed total,"]0,2-0,4]",Østerbro,2008,1019.0
Highest education completed total,"]0,2-0,4]",Østerbro,2009,1285.0
Highest education completed total,"]0,2-0,4]",Østerbro,2010,1332.0
Highest education completed total,"]0,2-0,4]",Østerbro,2011,1357.0
Highest education completed total,"]0,2-0,4]",Østerbro,2012,1314.0
Highest education completed total,"]0,2-0,4]",Østerbro,2013,1363.0
Highest education completed total,"]0,2-0,4]",Østerbro,2014,1322.0
Highest education completed total,"]0,2-0,4]",Østerbro,2015,1321.0
Highest education completed total,"]0,2-0,4]",Østerbro,2016,1378.0
Highest education completed total,"]0,2-0,4]",Østerbro,2017,1312.0
Highest education completed total,"]0,2-0,4]",Østerbro,2018,1224.0
Highest education completed total,"]0,2-0,4]",Østerbro,2019,1192.0
Highest education completed total,"]0,2-0,4]",Østerbro,2020,1328.0
Highest education completed total,"]0,2-0,4]",Østerbro,2021,1284.0
Highest education completed total,"]0,2-0,4]",Østerbro,2022,1124.0
Highest education completed total,"]0,2-0,4]",Østerbro,2023,1181.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2008,505.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2009,752.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2010,825.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2011,933.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2012,858.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2013,872.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2014,842.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2015,836.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2016,782.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2017,815.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2018,779.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2019,890.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2020,1050.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2021,1073.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2022,705.0
Highest education completed total,"]0,4-0,6]",Amager Vest,2023,745.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2008,483.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2009,718.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2010,881.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2011,858.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2012,875.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2013,869.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2014,839.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2015,769.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2016,698.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2017,742.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2018,671.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2019,713.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2020,887.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2021,864.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2022,561.0
Highest education completed total,"]0,4-0,6]",Amager Øst,2023,622.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2008,565.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2009,797.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2010,988.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2011,910.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2012,970.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2013,991.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2014,874.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2015,861.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2016,836.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2017,794.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2018,853.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2019,821.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2020,934.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2021,940.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2022,690.0
Highest education completed total,"]0,4-0,6]",Bispebjerg,2023,730.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2008,420.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2009,536.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2010,628.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2011,608.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2012,612.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2013,663.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2014,568.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2015,563.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2016,491.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2017,541.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2018,491.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2019,460.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2020,597.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2021,536.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2022,380.0
Highest education completed total,"]0,4-0,6]",Brønshøj-Husum,2023,410.0
Highest education completed total,"]0,4-0,6]",Indre By,2008,423.0
Highest education completed total,"]0,4-0,6]",Indre By,2009,561.0
Highest education completed total,"]0,4-0,6]",Indre By,2010,572.0
Highest education completed total,"]0,4-0,6]",Indre By,2011,565.0
Highest education completed total,"]0,4-0,6]",Indre By,2012,598.0
Highest education completed total,"]0,4-0,6]",Indre By,2013,612.0
Highest education completed total,"]0,4-0,6]",Indre By,2014,563.0
Highest education completed total,"]0,4-0,6]",Indre By,2015,561.0
Highest education completed total,"]0,4-0,6]",Indre By,2016,508.0
Highest education completed total,"]0,4-0,6]",Indre By,2017,539.0
Highest education completed total,"]0,4-0,6]",Indre By,2018,481.0
Highest education completed total,"]0,4-0,6]",Indre By,2019,508.0
Highest education completed total,"]0,4-0,6]",Indre By,2020,649.0
Highest education completed total,"]0,4-0,6]",Indre By,2021,571.0
Highest education completed total,"]0,4-0,6]",Indre By,2022,422.0
Highest education completed total,"]0,4-0,6]",Indre By,2023,466.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2008,887.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2009,1247.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2010,1453.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2011,1441.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2012,1535.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2013,1586.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2014,1412.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2015,1412.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2016,1353.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2017,1295.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2018,1180.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2019,1257.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2020,1455.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2021,1306.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2022,968.0
Highest education completed total,"]0,4-0,6]",Nørrebro,2023,1120.0
