income_type,sex,unit,district,year,value
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2016,5201767.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2017,5488200.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2018,5728827.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2019,6029801.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2020,6462955.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2021,6835850.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2022,7039117.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2023,7539938.0
Disposable income,Men,"Amount of income (DKK 1,000)",Amager Øst,2024,8134591.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1987,1315499.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1988,1370258.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1989,1446645.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1990,1467453.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1991,1501163.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1992,1545189.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1993,1565272.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1994,1674438.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1995,1782651.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1996,1868578.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1997,1924355.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1998,2053223.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,1999,2160224.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2000,2275278.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2001,2380216.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2002,2468815.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2003,2546838.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2004,2654440.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2005,2732343.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2006,2922161.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2007,3061051.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2008,3169715.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2009,3263711.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2010,3489167.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2011,3618243.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2012,3740615.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2013,3834492.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2014,3963111.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2015,4144232.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2016,4259789.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2017,4349096.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2018,4569568.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2019,4658068.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2020,4849908.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2021,5065889.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2022,5247116.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2023,5596217.0
Disposable income,Men,"Amount of income (DKK 1,000)",Bispebjerg,2024,5972351.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1987,1263569.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1988,1301221.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1989,1348573.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1990,1382708.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1991,1402835.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1992,1435980.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1993,1475298.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1994,1578678.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1995,1627640.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1996,1731156.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1997,1800507.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1998,1899951.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,1999,1983933.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2000,2070122.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2001,2144504.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2002,2247757.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2003,2326048.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2004,2438957.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2005,2537525.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2006,2627419.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2007,2661787.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2008,2706332.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2009,2780594.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2010,3048821.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2011,3166670.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2012,3285443.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2013,3396376.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2014,3542543.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2015,3673016.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2016,3720820.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2017,3796071.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2018,3974421.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2019,4106228.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2020,4280677.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2021,4470515.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2022,4565502.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2023,4918741.0
Disposable income,Men,"Amount of income (DKK 1,000)",Brønshøj-Husum,2024,5106510.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1987,1584647.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1988,1648448.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1989,1670884.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1990,1707975.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1991,1784016.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1992,1823295.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1993,1901878.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1994,2062313.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1995,2078003.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1996,2348285.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1997,2472403.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1998,2694702.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,1999,2802380.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2000,3037540.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2001,3176231.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2002,3588537.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2003,3626883.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2004,3740050.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2005,3854130.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2006,4288332.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2007,4181911.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2008,4120674.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2009,4268467.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2010,4789915.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2011,5177905.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2012,5375935.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2013,5742879.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2014,6184777.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2015,6683139.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2016,7124773.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2017,7389780.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2018,7725684.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2019,8192875.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2020,8644121.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2021,9377658.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2022,9205198.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2023,9551290.0
Disposable income,Men,"Amount of income (DKK 1,000)",Indre By,2024,10426573.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1987,2039937.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1988,2165985.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1989,2232364.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1990,2286891.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1991,2358744.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1992,2444610.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1993,2486450.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1994,2601890.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1995,2732279.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1996,2882260.0
