income_type,sex,unit,district,year,value
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2000,12941.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2001,13132.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2002,13134.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2003,13045.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2004,13071.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2005,13241.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2006,13934.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2007,14556.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2008,14465.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2009,14380.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2010,14254.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2011,14847.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2012,15182.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2013,15561.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2014,15945.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2015,16424.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2016,16878.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2017,16949.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2018,17281.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2019,17306.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2020,16836.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2021,17167.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2022,17580.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2023,17734.0
Entrepreneurial income,Men,People with the type of income (number),Bispebjerg,2024,18008.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1987,9887.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1988,9710.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1989,9547.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1990,9409.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1991,9304.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1992,9153.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1993,9035.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1994,9500.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1995,9231.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1996,9746.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1997,9926.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1998,10247.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,1999,10444.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2000,10448.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2001,10504.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2002,10522.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2003,10287.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2004,10316.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2005,10443.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2006,10622.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2007,10792.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2008,10594.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2009,10430.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2010,10369.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2011,10653.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2012,10987.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2013,11317.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2014,11819.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2015,11965.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2016,12115.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2017,12136.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2018,12370.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2019,12458.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2020,12193.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2021,12616.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2022,12832.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2023,13031.0
Entrepreneurial income,Men,People with the type of income (number),Brønshøj-Husum,2024,13296.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1987,13576.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1988,13489.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1989,13094.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1990,13039.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1991,13007.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1992,12986.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1993,13131.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1994,13621.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1995,13657.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1996,14089.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1997,14201.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1998,14665.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,1999,14674.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2000,14726.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2001,14737.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2002,14657.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2003,14811.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2004,14632.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2005,14503.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2006,14929.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2007,14973.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2008,14975.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2009,15232.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2010,15288.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2011,15774.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2012,16061.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2013,16431.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2014,16650.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2015,17055.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2016,17515.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2017,17573.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2018,17854.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2019,18071.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2020,18023.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2021,18338.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2022,18567.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2023,18778.0
Entrepreneurial income,Men,People with the type of income (number),Indre By,2024,18947.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1987,19286.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1988,19344.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1989,18874.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1990,18686.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1991,18855.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1992,18775.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1993,18626.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1994,19207.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1995,19562.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1996,20555.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1997,20927.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1998,21831.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,1999,22218.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2000,22401.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2001,22434.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2002,22195.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2003,21872.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2004,21997.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2005,21701.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2006,22081.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2007,22537.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2008,22371.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2009,22356.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2010,22367.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2011,23064.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2012,23482.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2013,24218.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2014,24438.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2015,24810.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2016,25038.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2017,25288.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2018,25453.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2019,25605.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2020,25052.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2021,25369.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2022,25587.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2023,25759.0
Entrepreneurial income,Men,People with the type of income (number),Nørrebro,2024,26003.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1987,12127.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1988,11998.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1989,11879.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1990,11659.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1991,11559.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1992,11474.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1993,11488.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1994,11971.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1995,12172.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1996,12588.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1997,12890.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1998,13329.0
Entrepreneurial income,Men,People with the type of income (number),Valby,1999,13414.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2000,13505.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2001,13635.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2002,13528.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2003,13422.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2004,13415.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2005,13356.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2006,13499.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2007,13920.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2008,13914.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2009,13922.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2010,13849.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2011,14029.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2012,14292.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2013,14926.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2014,15204.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2015,15546.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2016,16291.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2017,17120.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2018,17983.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2019,18965.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2020,19473.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2021,21005.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2022,21648.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2023,21751.0
Entrepreneurial income,Men,People with the type of income (number),Valby,2024,22152.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1987,9753.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1988,9738.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1989,9677.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1990,9683.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1991,9659.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1992,9616.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1993,9708.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1994,10034.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1995,9999.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1996,10376.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1997,10510.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1998,10888.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,1999,11018.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2000,11110.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2001,11229.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2002,11287.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2003,11102.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2004,11131.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2005,11186.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2006,11227.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2007,11280.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2008,11205.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2009,11236.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2010,11063.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2011,11405.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2012,11675.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2013,11911.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2014,12074.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2015,12275.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2016,12480.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2017,12720.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2018,12775.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2019,12881.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2020,12637.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2021,12972.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2022,13141.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2023,13336.0
Entrepreneurial income,Men,People with the type of income (number),Vanløse,2024,13464.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1987,14726.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1988,14477.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1989,14106.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1990,13888.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1991,13758.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1992,13702.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1993,13795.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1994,14221.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1995,14339.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1996,15108.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1997,15706.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1998,16406.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,1999,16883.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2000,16996.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2001,16966.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2002,16695.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2003,16509.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2004,16480.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2005,16437.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2006,16947.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2007,17417.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2008,17849.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2009,18133.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2010,18293.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2011,18726.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2012,18763.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2013,19148.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2014,19538.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2015,20147.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2016,21274.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2017,22304.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2018,23023.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2019,24199.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2020,24688.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2021,26504.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2022,27418.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2023,27853.0
Entrepreneurial income,Men,People with the type of income (number),Vesterbro/Kongens Enghave,2024,28768.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1987,18841.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1988,18789.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1989,18640.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1990,18529.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1991,18324.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1992,18391.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1993,18464.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1994,19087.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1995,19119.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1996,19908.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1997,20172.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1998,20800.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,1999,21201.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2000,21238.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2001,21262.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2002,21336.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2003,21053.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2004,20982.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2005,20885.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2006,21085.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2007,21238.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2008,21163.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2009,21230.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2010,21199.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2011,21686.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2012,22049.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2013,22407.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2014,22692.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2015,23159.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2016,23804.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2017,24454.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2018,24372.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2019,24824.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2020,24790.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2021,25471.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2022,26013.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2023,26482.0
Entrepreneurial income,Men,People with the type of income (number),Østerbro,2024,26730.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1987,1346941.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1988,1419867.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1989,1443263.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1990,1495274.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1991,1504689.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1992,1536829.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1993,1543559.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1994,1571327.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1995,1624096.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1996,1693800.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1997,1791792.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1998,1907854.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,1999,2029119.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2000,2123844.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2001,2234360.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2002,2284768.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2003,2349191.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2004,2514121.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2005,2767750.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2006,3137793.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2007,3506807.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2008,3870186.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2009,4085832.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2010,4280253.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2011,4440286.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2012,4716503.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2013,4912854.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2014,5159099.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2015,5539263.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2016,5907676.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2017,6302019.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2018,6788458.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2019,7312285.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2020,7950995.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2021,8617823.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2022,9280811.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2023,10087428.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Vest,2024,10995666.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1987,1416960.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1988,1513832.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1989,1554027.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1990,1598014.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1991,1616462.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1992,1653667.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1993,1657543.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1994,1704227.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1995,1773562.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1996,1863118.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1997,1956822.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1998,2098903.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,1999,2227899.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2000,2388759.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2001,2537081.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2002,2612639.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2003,2677499.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2004,2779065.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2005,2886889.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2006,3075859.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2007,3292804.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2008,3552134.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2009,3668814.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2010,3768160.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2011,3839527.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2012,3953702.0
Entrepreneurial income,Women,"Amount of income (DKK 1,000)",Amager Øst,2013,4090340.0
